Depth (m)	count	age (b1950)	MCE
148.981	1.0	1720.0	39.5
149.117	1.0	1721.0	40.0
149.198	1.0	1722.0	40.0
149.285	1.0	1723.0	40.0
149.39	1.0	1724.0	40.0
149.475	1.0	1725.0	40.0
149.542	1.0	1726.0	40.0
149.615	1.0	1727.0	40.0
149.692	1.0	1728.0	40.0
149.736	1.0	1729.0	40.0
149.793	1.0	1730.0	40.0
149.876	1.0	1731.0	40.0
149.931	1.0	1732.0	40.0
149.957	1.0	1733.0	40.0
150.035	1.0	1734.0	40.0
150.135	1.0	1735.0	40.0
150.182	1.0	1736.0	40.0
150.246	1.0	1737.0	40.0
150.324	1.0	1738.0	40.0
150.39	1.0	1739.0	40.0
150.451	1.0	1740.0	40.0
150.526	1.0	1741.0	40.0
150.593	1.0	1742.0	40.0
150.647	1.0	1743.0	40.0
150.699	1.0	1744.0	40.5
150.774	1.0	1745.0	40.5
150.85	1.0	1746.0	40.5
150.889	1.0	1747.0	41.0
150.932	1.0	1748.0	41.0
151.006	1.0	1749.0	41.0
151.045	1.0	1750.0	41.0
151.102	1.0	1751.0	41.0
151.154	1.0	1752.0	41.0
151.242	1.0	1753.0	41.5
151.271	1.0	1754.0	41.5
151.346	1.0	1755.0	41.5
151.409	1.0	1756.0	41.5
151.517	1.0	1757.0	41.5
151.612	1.0	1758.0	41.5
151.698	1.0	1759.0	41.5
151.78	1.0	1760.0	41.5
151.844	1.0	1761.0	41.5
151.913	1.0	1762.0	41.5
151.988	1.0	1763.0	42.0
152.11	1.0	1764.0	42.0
152.189	1.0	1765.0	42.0
152.282	1.0	1766.0	42.0
152.333	1.0	1767.0	42.0
152.386	1.0	1768.0	42.0
152.451	1.0	1769.0	42.0
152.534	1.0	1770.0	42.0
152.606	1.0	1771.0	42.0
152.667	1.0	1772.0	42.0
152.714	1.0	1773.0	42.0
152.791	1.0	1774.0	42.0
152.863	1.0	1775.0	42.0
152.907	1.0	1776.0	42.0
152.957	1.0	1777.0	42.0
153.013	1.0	1778.0	42.0
153.052	1.0	1779.0	42.0
153.118	1.0	1780.0	42.0
153.166	1.0	1781.0	42.0
153.212	1.0	1782.0	42.0
153.261	1.0	1783.0	42.0
153.293	1.0	1784.0	42.0
153.351	1.0	1785.0	42.0
153.405	1.0	1786.0	42.0
153.455	1.0	1787.0	42.0
153.543	1.0	1788.0	42.0
153.647	1.0	1789.0	42.0
153.744	1.0	1790.0	42.0
153.817	1.0	1791.0	42.0
153.874	1.0	1792.0	42.0
153.945	1.0	1793.0	42.0
153.982	1.0	1794.0	42.0
154.038	1.0	1795.0	42.0
154.132	1.0	1796.0	42.5
154.186	1.0	1797.0	42.5
154.215	1.0	1798.0	42.5
154.262	1.0	1799.0	42.5
154.328	1.0	1800.0	42.5
154.397	1.0	1801.0	42.5
154.496	1.0	1802.0	42.5
154.544	1.0	1803.0	42.5
154.608	1.0	1804.0	42.5
154.69	1.0	1805.0	42.5
154.739	1.0	1806.0	42.5
154.827	1.0	1807.0	43.0
154.862	1.0	1808.0	43.0
154.941	1.0	1809.0	43.0
155.003	1.0	1810.0	43.0
155.03	1.0	1811.0	43.5
155.113	1.0	1812.0	43.5
155.19	1.0	1813.0	43.5
155.259	1.0	1814.0	43.5
155.328	1.0	1815.0	43.5
155.382	1.0	1816.0	43.5
155.443	1.0	1817.0	43.5
155.517	1.0	1818.0	43.5
155.622	1.0	1819.0	43.5
155.666	1.0	1820.0	43.5
155.715	1.0	1821.0	43.5
155.76	1.0	1822.0	43.5
155.828	1.0	1823.0	43.5
155.878	1.0	1824.0	43.5
155.979	1.0	1825.0	43.5
156.095	1.0	1826.0	43.5
156.186	1.0	1827.0	43.5
156.263	1.0	1828.0	43.5
156.318	1.0	1829.0	43.5
156.376	1.0	1830.0	43.5
156.468	1.0	1831.0	44.0
156.531	1.0	1832.0	44.0
156.654	1.0	1833.0	44.0
156.693	1.0	1834.0	44.0
156.793	1.0	1835.0	44.0
156.855	1.0	1836.0	44.0
156.925	1.0	1837.0	44.0
157.005	1.0	1838.0	44.0
157.105	1.0	1839.0	44.5
157.159	1.0	1840.0	44.5
157.235	1.0	1841.0	44.5
157.292	1.0	1842.0	44.5
157.365	1.0	1843.0	44.5
157.402	1.0	1844.0	44.5
157.507	1.0	1845.0	44.5
157.564	1.0	1846.0	44.5
157.672	1.0	1847.0	45.0
157.748	1.0	1848.0	45.0
157.875	1.0	1849.0	45.0
157.946	1.0	1850.0	45.0
158.008	1.0	1851.0	45.0
158.097	1.0	1852.0	45.0
158.223	1.0	1853.0	45.0
158.291	1.0	1854.0	45.0
158.335	1.0	1855.0	45.0
158.448	1.0	1856.0	45.0
158.543	1.0	1857.0	45.0
158.62	1.0	1858.0	45.0
158.716	1.0	1859.0	45.0
158.772	1.0	1860.0	45.0
158.86	1.0	1861.0	45.0
158.945	1.0	1862.0	45.0
158.998	1.0	1863.0	45.0
159.071	1.0	1864.0	45.0
159.186	1.0	1865.0	45.0
159.276	1.0	1866.0	45.0
159.319	1.0	1867.0	45.0
159.403	1.0	1868.0	45.0
159.473	1.0	1869.0	45.0
159.516	1.0	1870.0	45.0
159.559	1.0	1871.0	45.0
159.635	1.0	1872.0	45.0
159.7	1.0	1873.0	45.0
159.75	1.0	1874.0	45.0
159.786	1.0	1875.0	45.0
159.872	1.0	1876.0	45.0
159.947	1.0	1877.0	45.0
160.017	1.0	1878.0	45.0
160.073	1.0	1879.0	45.0
160.136	1.0	1880.0	45.0
160.223	1.0	1881.0	45.0
160.287	1.0	1882.0	45.0
160.349	1.0	1883.0	45.0
160.398	1.0	1884.0	45.0
160.459	1.0	1885.0	45.0
160.509	1.0	1886.0	45.0
160.596	1.0	1887.0	45.0
160.669	1.0	1888.0	45.0
160.724	1.0	1889.0	45.0
160.779	1.0	1890.0	45.0
160.821	1.0	1891.0	45.5
160.857	1.0	1892.0	45.5
160.9	1.0	1893.0	45.5
160.961	1.0	1894.0	45.5
160.997	1.0	1895.0	45.5
161.085	1.0	1896.0	45.5
161.128	1.0	1897.0	46.0
161.156	1.0	1898.0	46.0
161.214	1.0	1899.0	46.0
161.267	1.0	1900.0	46.0
161.331	1.0	1901.0	46.0
161.409	1.0	1902.0	46.0
161.472	1.0	1903.0	46.0
161.54	1.0	1904.0	46.0
161.606	1.0	1905.0	46.0
161.703	1.0	1906.0	46.0
161.797	1.0	1907.0	46.0
161.858	1.0	1908.0	46.0
161.915	1.0	1909.0	46.0
161.963	1.0	1910.0	46.0
162.07	1.0	1911.0	46.0
162.12	1.0	1912.0	46.0
162.159	1.0	1913.0	46.0
162.231	1.0	1914.0	46.0
162.279	1.0	1915.0	46.0
162.353	1.0	1916.0	46.0
162.405	1.0	1917.0	46.0
162.444	1.0	1918.0	46.5
162.557	1.0	1919.0	46.5
162.622	1.0	1920.0	46.5
162.679	1.0	1921.0	46.5
162.741	1.0	1922.0	46.5
162.796	1.0	1923.0	46.5
162.872	1.0	1924.0	46.5
162.94	1.0	1925.0	46.5
163.008	1.0	1926.0	46.5
163.04	1.0	1927.0	46.5
163.082	1.0	1928.0	46.5
163.141	1.0	1929.0	46.5
163.203	1.0	1930.0	46.5
163.242	1.0	1931.0	46.5
163.295	1.0	1932.0	46.5
163.359	1.0	1933.0	46.5
163.417	1.0	1934.0	46.5
163.536	1.0	1935.0	46.5
163.588	1.0	1936.0	46.5
163.629	1.0	1937.0	46.5
163.681	1.0	1938.0	46.5
163.736	1.0	1939.0	46.5
163.822	1.0	1940.0	46.5
163.916	1.0	1941.0	46.5
163.983	1.0	1942.0	46.5
164.028	1.0	1943.0	46.5
164.155	1.0	1944.0	47.0
164.228	1.0	1945.0	47.0
164.296	1.0	1946.0	47.0
164.348	1.0	1947.0	47.0
164.411	1.0	1948.0	47.5
164.443	1.0	1949.0	47.5
164.525	1.0	1950.0	47.5
164.569	1.0	1951.0	47.5
164.645	1.0	1952.0	47.5
164.688	1.0	1953.0	47.5
164.771	1.0	1954.0	47.5
164.838	1.0	1955.0	47.5
164.902	1.0	1956.0	47.5
164.947	1.0	1957.0	47.5
164.993	1.0	1958.0	47.5
165.018	1.0	1959.0	47.5
165.123	1.0	1960.0	47.5
165.213	1.0	1961.0	47.5
165.257	1.0	1962.0	47.5
165.341	1.0	1963.0	47.5
165.369	1.0	1964.0	47.5
165.42	1.0	1965.0	47.5
165.527	1.0	1966.0	47.5
165.62	1.0	1967.0	47.5
165.675	1.0	1968.0	47.5
165.73	1.0	1969.0	47.5
165.818	1.0	1970.0	47.5
165.96	1.0	1971.0	47.5
166.012	1.0	1972.0	47.5
166.138	1.0	1973.0	47.5
166.202	1.0	1974.0	47.5
166.283	1.0	1975.0	47.5
166.389	1.0	1976.0	48.0
166.522	1.0	1977.0	48.5
166.587	1.0	1978.0	48.5
166.659	1.0	1979.0	48.5
166.713	1.0	1980.0	48.5
166.772	1.0	1981.0	48.5
166.849	1.0	1982.0	48.5
166.927	1.0	1983.0	48.5
166.973	1.0	1984.0	48.5
167.044	1.0	1985.0	48.5
167.121	1.0	1986.0	48.5
167.188	1.0	1987.0	48.5
167.266	1.0	1988.0	48.5
167.32	1.0	1989.0	49.0
167.36	1.0	1990.0	49.0
167.439	1.0	1991.0	49.5
167.479	1.0	1992.0	49.5
167.559	1.0	1993.0	50.0
167.606	1.0	1994.0	50.0
167.665	1.0	1995.0	50.0
167.741	1.0	1996.0	50.0
167.778	1.0	1997.0	50.0
167.847	1.0	1998.0	50.0
