Depth_m,nh4
57.429,1.992
57.442,1.994
57.454,1.585
57.467,0.869
57.48,0.05
57.608,0.045
57.621,0.05
57.851,0.183
57.864,0.389
57.877,0.492
57.89,0.493
57.903,0.494
57.915,0.494
57.928,0.392
57.941,0.188
58.145,0.028
58.158,0.236
58.171,0.545
58.184,0.648
58.196,0.649
58.209,0.343
58.222,0.038
58.35,0.054
58.362,0.566
58.375,1.078
58.388,1.386
58.401,1.591
58.413,1.387
58.426,0.876
58.439,0.365
58.566,0.358
58.579,0.765
58.592,1.173
58.605,1.274
58.617,1.274
58.63,1.069
58.643,0.865
58.656,0.558
58.668,0.252
58.758,0.266
58.77,0.575
58.783,0.884
58.796,1.089
58.809,1.295
58.821,1.499
58.834,1.498
58.847,1.699
58.859,1.799
58.872,2.103
58.885,2.204
58.898,2.306
58.91,1.999
58.923,1.59
58.936,1.079
58.949,0.568
58.961,0.26
59.114,0.034
59.126,0.135
59.139,0.236
59.152,0.437
59.165,0.536
59.177,0.839
59.19,0.938
59.203,1.14
59.215,1.137
59.228,0.829
59.241,0.418
59.254,0.11
59.368,0.091
59.381,0.499
59.393,0.804
59.406,0.905
59.419,0.802
59.431,0.599
59.444,0.396
59.457,0.092
59.609,0.108
59.622,0.21
59.634,0.313
59.647,0.414
59.66,0.516
59.672,0.515
59.685,0.515
59.698,0.618
59.71,0.619
59.723,0.518
59.736,0.313
59.748,0.108
59.888,0.004
59.9,0.109
59.913,0.316
59.926,0.421
59.938,0.731
59.951,0.836
59.964,1.146
59.976,1.353
59.989,1.457
60.002,1.663
60.014,1.665
60.027,1.46
60.04,0.948
60.052,0.537
60.065,0.431
60.077,0.734
60.09,1.242
60.103,1.852
60.115,2.258
60.128,2.665
60.141,2.663
60.153,2.354
60.166,1.637
60.179,1.126
60.191,0.819
60.204,0.717
60.217,0.412
60.229,0.106
60.305,0.123
60.318,0.433
60.33,0.742
60.343,1.05
60.356,1.153
60.368,1.155
60.381,1.156
60.393,1.156
60.406,1.36
60.419,1.462
60.431,1.46
60.444,1.357
60.457,1.15
60.469,0.944
60.482,0.84
60.494,0.736
60.507,0.53
60.52,0.222
60.671,0.25
60.684,0.558
60.696,0.558
60.709,0.557
60.722,0.453
60.734,0.349
60.747,0.245
60.759,0.14
60.885,0.107
60.898,0.309
60.911,0.513
60.923,0.513
60.936,0.308
61.087,0.001
61.1,0.305
61.112,0.404
61.125,0.4
61.137,0.295
61.15,0.088
61.326,0.067
61.339,0.374
61.351,0.682
61.364,0.786
61.376,0.583
61.389,0.176
61.439,0.072
61.452,0.173
61.464,0.07
61.766,0.072
61.778,0.072
61.791,0.074
61.991,0.102
62.004,0.31
62.016,0.62
62.029,0.829
62.041,0.935
62.054,0.94
62.066,0.842
62.079,0.642
62.092,0.34
62.104,0.038
62.242,0.145
62.254,0.35
62.267,0.452
62.279,0.453
62.292,0.351
62.304,0.352
62.317,0.456
62.329,0.662
62.342,0.97
62.354,1.279
62.367,1.28
62.379,1.18
62.392,0.773
62.405,0.366
62.467,0.055
62.48,0.255
62.492,0.455
62.505,0.553
62.517,0.651
62.53,0.649
62.542,0.75
62.555,0.954
62.567,1.057
62.58,1.058
62.592,0.958
62.605,0.654
62.617,0.247
62.817,0.052
62.829,0.258
62.842,0.362
62.854,0.158
62.979,0.053
62.992,0.152
63.004,0.149
63.017,0.146
63.029,0.143
63.041,0.142
63.216,0.069
63.229,0.377
63.241,0.683
63.253,0.683
63.266,0.582
63.278,0.379
63.291,0.28
63.303,0.182
63.316,0.086
63.664,0.042
63.677,0.147
63.689,0.15
63.702,0.253
63.714,0.355
63.726,0.456
63.739,0.351
63.751,0.347
63.764,0.138
63.913,0.348
63.925,0.759
63.938,1.17
63.95,1.478
63.963,1.683
63.975,1.785
63.987,1.784
64.0,1.782
64.012,1.78
64.025,1.676
64.037,1.469
64.049,1.16
64.062,0.648
64.074,0.034
64.211,0.428
64.223,0.836
64.236,1.347
64.248,1.858
64.26,2.165
64.273,2.166
64.285,1.96
64.298,1.549
64.31,1.036
64.322,0.42
64.335,0.111
64.422,0.203
64.434,0.203
64.446,0.305
64.459,0.101
64.731,0.223
64.744,0.428
64.756,0.632
64.768,0.734
64.781,0.733
64.793,0.528
64.806,0.323
64.818,0.116
64.83,0.012
64.88,0.004
64.892,0.004
65.214,0.11
65.226,0.214
65.238,0.318
65.251,0.421
65.263,0.524
65.275,0.423
65.288,0.322
65.3,0.016
65.497,0.137
65.51,0.445
65.522,0.651
65.534,0.855
65.547,1.059
65.559,1.262
65.571,1.465
65.584,1.668
65.596,1.665
65.608,1.56
65.621,1.251
65.633,0.84
65.645,0.43
65.658,0.021
65.756,0.023
65.769,0.021
65.781,0.02
65.793,0.018
65.954,0.105
65.966,0.31
65.978,0.413
65.99,0.311
66.003,0.107
66.015,0.108
66.027,0.21
66.04,0.416
66.052,0.723
66.064,0.826
66.077,0.929
66.089,0.93
66.101,0.93
66.114,0.828
66.126,0.624
66.138,0.317
66.273,0.201
66.286,0.402
66.298,0.501
66.31,0.6
66.323,0.596
66.335,0.594
66.347,0.492
66.359,0.493
66.372,0.392
66.384,0.292
66.396,0.191
66.507,0.085
66.519,0.187
66.532,0.289
66.544,0.391
66.556,0.493
66.568,0.494
66.581,0.494
66.593,0.494
66.605,0.596
66.618,0.493
66.63,0.389
66.642,0.182
66.814,0.256
66.826,0.666
66.838,1.076
66.851,1.282
66.863,1.283
66.875,1.18
