Depth_m,nssCa
60.419,0.3
60.431,0.308
60.444,0.25
60.469,0.147
60.482,0.015
60.583,0.483
60.595,0.66
60.608,1.162
60.621,1.357
60.633,1.557
60.646,1.586
60.659,1.135
60.671,1.096
60.684,1.185
60.696,1.532
60.709,1.676
60.722,1.612
60.734,1.298
60.747,0.842
60.759,0.988
60.772,1.092
60.785,1.273
60.797,1.226
60.81,0.82
60.823,0.594
60.835,0.424
60.936,0.006
60.948,0.174
61.024,0.26
61.037,0.761
61.049,0.303
61.1,0.142
61.112,0.17
61.125,0.192
61.276,0.336
61.401,0.394
61.414,0.898
61.427,0.708
