Depth_m,Br
54.951,0.153
54.964,0.152
55.431,0.102
55.547,0.11
55.56,1.037
55.612,0.768
55.625,0.277
55.78,0.13
55.793,0.565
55.806,0.46
55.858,0.374
55.871,0.386
55.884,0.138
55.897,0.347
55.91,0.805
55.922,0.027
56.039,0.073
56.052,0.162
56.065,0.105
56.078,0.195
56.09,0.271
56.116,0.41
56.129,0.775
56.142,1.476
56.155,1.156
56.168,0.237
56.271,0.066
56.284,0.253
56.297,0.18
56.31,0.202
56.323,0.461
56.336,0.948
56.349,1.146
56.361,1.037
56.374,0.725
56.387,0.727
56.4,0.339
56.645,0.048
56.658,0.408
56.671,0.702
56.684,1.054
56.696,1.353
56.709,1.586
56.722,1.55
56.735,1.1
56.748,0.443
56.979,0.032
56.992,0.267
57.005,0.602
57.018,0.858
57.031,0.973
57.044,1.117
57.056,0.878
57.069,1.376
57.082,2.121
57.095,1.278
57.108,0.248
57.121,0.114
57.262,0.564
57.275,0.691
57.288,1.085
57.3,1.677
57.313,0.849
57.749,0.574
57.762,0.617
57.775,0.793
57.787,1.713
57.8,1.401
57.813,1.401
57.826,1.314
57.839,1.391
57.864,0.7
57.877,0.009
58.043,0.295
58.056,0.537
58.069,0.532
58.082,0.328
58.094,0.375
58.107,0.484
58.12,0.398
58.133,0.577
58.145,0.562
58.158,0.698
58.171,1.191
58.184,1.159
58.196,0.092
58.337,0.04
58.477,0.803
58.49,1.148
58.503,1.052
58.515,0.864
58.528,1.083
58.541,1.582
58.554,1.825
58.566,1.173
58.719,0.17
58.732,0.419
58.745,0.719
58.758,1.025
58.77,1.335
58.783,1.638
58.796,1.026
59.063,0.266
59.076,0.463
59.088,0.544
59.101,0.947
59.114,1.263
59.126,1.053
59.139,1.174
59.152,1.004
59.165,1.581
59.177,1.664
59.19,1.444
59.203,0.324
59.266,0.063
59.279,0.049
59.292,0.282
59.304,0.321
59.317,0.342
59.33,0.35
59.342,0.411
59.355,0.429
59.368,0.766
59.381,1.529
59.393,1.64
59.406,0.205
59.546,0.159
59.558,0.313
59.571,0.466
59.584,0.705
59.596,1.11
59.609,1.614
59.622,1.833
59.634,1.938
59.647,1.463
59.66,1.031
59.672,0.05
59.723,0.224
59.748,0.334
59.761,0.399
59.774,0.397
59.786,0.333
59.799,0.396
59.812,0.583
59.824,0.655
59.837,0.543
59.85,0.46
59.862,0.277
59.875,0.067
60.04,0.08
60.052,0.487
60.065,0.652
60.077,0.902
60.09,1.072
60.103,1.18
60.115,0.999
60.128,1.062
60.141,0.917
60.153,0.76
60.166,0.466
60.179,0.479
60.191,0.655
60.204,0.784
60.217,0.327
60.229,0.443
60.305,0.068
60.318,0.012
60.33,0.148
60.343,0.055
60.356,0.345
60.368,0.733
60.381,0.689
60.393,0.907
60.406,1.428
60.419,1.764
60.431,2.157
60.444,1.433
60.457,1.194
60.469,0.656
60.482,0.431
60.494,1.047
60.507,1.156
60.52,1.118
60.532,0.29
60.583,0.074
60.595,0.088
60.608,0.327
60.621,0.632
60.633,0.85
60.646,0.869
60.659,0.651
60.835,0.03
60.86,0.031
60.873,0.119
60.936,0.141
60.948,0.11
61.037,0.447
61.049,1.29
61.062,1.151
61.074,1.086
61.087,0.835
61.1,0.696
61.112,1.037
61.125,0.878
61.137,0.582
61.15,0.22
61.225,0.094
61.263,0.563
61.276,0.488
61.288,0.67
61.301,0.573
61.326,0.949
61.339,0.879
61.351,1.061
61.364,0.825
61.376,0.101
61.427,0.164
61.439,0.027
61.452,0.335
61.464,0.673
61.477,0.304
61.502,0.112
61.514,0.019
61.527,0.158
61.54,0.415
